Reference Airport Code,Traffic Level,Country,United,American,Taca,Delta,Alaska,Korean (on Korean),Korean (on Skyteam),ANA,Singapore,Virgin Atlantic (on DL),Air France,Lufthansa/Miles&More,Alitalia,Aeromexico,Air Canada,,,
SMA,Low,Azores,Europe,Europe,,,Other,,,,,,,Middle East/Caucasus/North/Central Africa,,,,,"SMA,",4
NAS,Low,Bahamas,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America",,Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"NAS,",13
BAH,Low,Bahrain,Middle East,Middle East / Indian Subcontinent,Middle East/North Africa,Middle East,Middle East,,Middle East,"Africa, Middle East","Middle East, North Africa",,"Middle East, Central Asia, Central Russia",Middle East/Caucasus/North/Central Africa,Middle East,Middle East,Middle East & North Africa,,"BAH,",13
DAC,Medium,Bangladesh,South Asia,Middle East / Indian Subcontinent,South Asia,South Asian Subcontinent,Rest of Asia,,Asia 3,Asia 2,"Zone 6 - South Asia (India, Sri Lanka, Maldives & Bangladesh)",,Indian Subcontinent,India,Indian Sub-Continent,Southwest Asia,Indian Subcontinent,,"DAC,",13
BGI,Low,Barbados,Caribbean,Caribbean,Caribbean,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America","Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"BGI,",14
BBQ,Low,Barbuda,Caribbean,Caribbean,,Caribbean,Caribbean,,Central America,"South, Latin America","Hawaii, Central America",,,,"Central America, Caribbean, Hawaii, Mexico",,,,"BBQ,",8
MSQ,Very Low,Belarus,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,,,Europe 3 + North Africa,Europe,Europe 3 & Near East,Europe,Europe 2,,"MSQ,",12
BRU,Alliance Hub,Belgium,Europe,Europe,Europe,Europe,Europe,,Europe,Europe,Europe,UK/Europe,Europe 1,Europe,Europe 2 & North Africa 2,Europe,Europe 1,,"BRU,",14
BZE,Low,Belize,Central America,Central America,,Central America,Central America,,Central America,"South, Latin America",,"Caribbean, Mexico & Central America","Central America, Caribbean, Hawaii, Bermuda",Central America & Caribbean,"Central America, Caribbean, Hawaii, Mexico",Central America & Caribbean,Caribbean & Central America,,"BZE,",12
COO,Very Low,Benin,Central/Southern Africa,Africa,South Africa,Africa,Africa,,"Middle East, Africa","Africa, Middle East",,,Africa 1,Middle East/Caucasus/North/Central Africa,Central & Southern Africa,North Africa,"East, West and South Africa",,"COO,",12
